          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  3.6000000E+02  6.9244859E-05 -1.3832690E-04  9.5477328E-05  2.0109763E-03  0.0000000E+00
  3.6000000E+02  1.3823141E-04 -1.5409821E-04  1.7923951E-05  2.2317787E-03  0.0000000E+00
  3.6000000E+02  4.9118950E-04 -1.5441938E-04 -1.3095512E-04  2.4217317E-03  0.0000000E+00
  3.6000000E+02  6.9239999E-04 -1.4965039E-04 -1.9060842E-04  2.5187028E-03  0.0000000E+00
  3.6000000E+02  6.9239999E-04 -1.4965039E-04 -1.9060842E-04  2.5187028E-03  0.0000000E+00
  3.6000000E+02  8.0884873E-04 -1.4557155E-04 -2.1538130E-04  2.5950484E-03  0.0000000E+00
  3.6000000E+02  1.0631787E-03 -1.2808712E-04 -2.0618247E-04  2.7755027E-03  0.0000000E+00
  3.6000000E+02  1.0538714E-03 -8.5110213E-05 -9.2141823E-05  3.0488324E-03  0.0000000E+00
  3.6000000E+02  7.4043958E-04 -3.1492509E-05  9.1538547E-06  3.3702789E-03  0.0000000E+00
  3.6000000E+02  4.3968714E-04 -8.0988874E-06  3.0952127E-05  3.6641446E-03  0.0000000E+00
  3.6000000E+02  1.2328312E-04 -8.4676370E-06  2.5143771E-05  3.8666854E-03  0.0000000E+00
  3.6000000E+02 -2.4993067E-05 -1.0591176E-05  2.3718737E-05  3.9530712E-03  0.0000000E+00
  3.6000000E+02 -2.4993067E-05 -1.0591176E-05  2.3718737E-05  3.9530712E-03  0.0000000E+00
  3.6000000E+02 -1.2708145E-04 -1.2188094E-05  2.4653026E-05  4.0040159E-03  0.0000000E+00
  3.6000000E+02 -3.6972144E-04 -1.3064935E-05  3.0060570E-05  4.1074358E-03  0.0000000E+00
  3.6000000E+02 -6.0585117E-04 -9.9491669E-06  4.1459420E-05  4.2298582E-03  0.0000000E+00
  3.6000000E+02 -6.1501971E-04 -2.9196075E-06  4.5338082E-05  4.3348888E-03  0.0000000E+00
  3.6000000E+02 -3.9681950E-04  3.7565979E-07  3.2742601E-05  4.4003414E-03  0.0000000E+00
  3.6000000E+02 -1.9648701E-04  4.6249648E-07  1.7959857E-05  4.4296852E-03  0.0000000E+00
  3.6000000E+02 -1.2184789E-04  3.0856216E-07  1.1875876E-05  4.4381356E-03  0.0000000E+00
  3.6000000E+02 -1.2184789E-04  3.0856216E-07  1.1875876E-05  4.4381356E-03  0.0000000E+00
