          atime             vx             vy             vz             pr        garbage
  2.0799350E+02  8.4133056E-01  2.3584847E-02 -2.3676644E-03 -6.9702014E-02  0.0000000E+00
  2.0799350E+02  8.4794871E-01  2.2586422E-02 -3.4221759E-03 -6.7923059E-02  0.0000000E+00
  2.0799350E+02  8.5464472E-01  2.1328840E-02 -4.1754326E-03 -6.6018293E-02  0.0000000E+00
  2.0799350E+02  8.6137369E-01  1.9935358E-02 -4.7360102E-03 -6.4026244E-02  0.0000000E+00
  2.0799350E+02  8.6807642E-01  1.8586849E-02 -5.1804055E-03 -6.1997389E-02  0.0000000E+00
  2.0799350E+02  8.7484533E-01  1.7406913E-02 -5.4105607E-03 -5.9974774E-02  0.0000000E+00
  2.0799350E+02  8.8182077E-01  1.6423298E-02 -5.4396207E-03 -5.7979600E-02  0.0000000E+00
  2.0799350E+02  8.8904432E-01  1.5669182E-02 -5.2890379E-03 -5.6019793E-02  0.0000000E+00
  2.0799350E+02  8.9643417E-01  1.5131865E-02 -5.0983326E-03 -5.4098939E-02  0.0000000E+00
  2.0799350E+02  9.0384555E-01  1.4739818E-02 -5.0472017E-03 -5.2228132E-02  0.0000000E+00
  2.0799350E+02  9.1114700E-01  1.4421488E-02 -5.2268595E-03 -5.0416929E-02  0.0000000E+00
  2.0799350E+02  9.1826051E-01  1.4137325E-02 -5.5929676E-03 -4.8670211E-02  0.0000000E+00
  2.0799350E+02  9.2517135E-01  1.3887369E-02 -5.9846391E-03 -4.6988515E-02  0.0000000E+00
  2.0799350E+02  9.3191347E-01  1.3696710E-02 -6.1939975E-03 -4.5369393E-02  0.0000000E+00
  2.0799350E+02  9.3853628E-01  1.3581159E-02 -6.0707770E-03 -4.3807375E-02  0.0000000E+00
  2.0799350E+02  9.4507051E-01  1.3495229E-02 -5.6455480E-03 -4.2287353E-02  0.0000000E+00
  2.0799350E+02  9.5146809E-01  1.3387044E-02 -5.0588118E-03 -4.0810523E-02  0.0000000E+00
  2.0799350E+02  9.5778595E-01  1.3258808E-02 -4.4371030E-03 -3.9374001E-02  0.0000000E+00
  2.0799350E+02  9.6401058E-01  1.3099888E-02 -3.9204904E-03 -3.7967698E-02  0.0000000E+00
  2.0799350E+02  9.7011834E-01  1.2879151E-02 -3.5718189E-03 -3.6600355E-02  0.0000000E+00
  2.0799350E+02  9.7610077E-01  1.2552354E-02 -3.4261332E-03 -3.5284289E-02  0.0000000E+00
  2.0799350E+02  9.8197131E-01  1.2092207E-02 -3.4879266E-03 -3.4029348E-02  0.0000000E+00
  2.0799350E+02  9.8776136E-01  1.1500972E-02 -3.7342018E-03 -3.2840048E-02  0.0000000E+00
  2.0799350E+02  9.9350950E-01  1.0809715E-02 -4.1216582E-03 -3.1715181E-02  0.0000000E+00
  2.0799350E+02  9.9924752E-01  1.0068339E-02 -4.5963190E-03 -3.0649132E-02  0.0000000E+00
  2.0799350E+02  1.0049872E+00  9.3305004E-03 -5.1039113E-03 -2.9634187E-02  0.0000000E+00
  2.0799350E+02  1.0107115E+00  8.6375454E-03 -5.5993123E-03 -2.8663070E-02  0.0000000E+00
  2.0799350E+02  1.0163739E+00  8.0055623E-03 -6.0533762E-03 -2.7730986E-02  0.0000000E+00
  2.0799350E+02  1.0219102E+00  7.4196861E-03 -6.4554531E-03 -2.6836427E-02  0.0000000E+00
  2.0799350E+02  1.0272675E+00  6.8440574E-03 -6.7906799E-03 -2.5976971E-02  0.0000000E+00
  2.0799350E+02  1.0325714E+00  6.2789341E-03 -6.9958741E-03 -2.5146612E-02  0.0000000E+00
  2.0799350E+02  1.0378908E+00  5.7380759E-03 -7.0353010E-03 -2.4340486E-02  0.0000000E+00
  2.0799350E+02  1.0432290E+00  5.2302591E-03 -6.9061863E-03 -2.3553541E-02  0.0000000E+00
  2.0799350E+02  1.0485719E+00  4.7616034E-03 -6.6280433E-03 -2.2783209E-02  0.0000000E+00
  2.0799350E+02  1.0538972E+00  4.3358372E-03 -6.2284295E-03 -2.2029207E-02  0.0000000E+00
