          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  7.8507600E+01  1.4924695E-03 -4.7896363E-05  1.8755546E-04 -4.4364169E-03  0.0000000E+00
  7.8507600E+01  1.5252691E-03  1.0399963E-05  7.4056000E-05 -4.1857184E-03  0.0000000E+00
  7.8507600E+01  1.2332985E-03  4.9756011E-05  6.6030368E-05 -3.9342871E-03  0.0000000E+00
  7.8507600E+01  9.2174460E-04  8.7527523E-05  9.4978315E-05 -3.6834694E-03  0.0000000E+00
  7.8507600E+01  7.4285886E-04  1.5037981E-04  1.1404410E-04 -3.4345100E-03  0.0000000E+00
  7.8507600E+01  5.2699580E-04  2.4401754E-04  1.3482603E-04 -3.1891542E-03  0.0000000E+00
  7.8507600E+01  3.7459825E-04  3.4462436E-04  1.8462731E-04 -2.9502336E-03  0.0000000E+00
  7.8507600E+01  3.5182839E-04  4.2149094E-04  2.5587902E-04 -2.7186796E-03  0.0000000E+00
  7.8507600E+01  1.7633125E-04  4.6254456E-04  2.8744579E-04 -2.4953575E-03  0.0000000E+00
  7.8507600E+01 -2.3784123E-04  4.8086218E-04  2.1809456E-04 -2.2799661E-03  0.0000000E+00
  7.8507600E+01 -5.5670855E-04  4.7959670E-04  9.6996572E-05 -2.0730143E-03  0.0000000E+00
  7.8507600E+01 -1.4494278E-04  4.5433539E-04  2.9449124E-06 -1.8739063E-03  0.0000000E+00
  7.8507600E+01 -5.7778914E-05  3.9973012E-04 -3.7635118E-05 -1.6823991E-03  0.0000000E+00
  7.8507600E+01 -3.0175180E-04  3.2382138E-04 -4.4410002E-05 -1.4990535E-03  0.0000000E+00
  7.8507600E+01  7.2804191E-08  5.2827671E-09  3.8194844E-08 -1.4789896E-01  0.0000000E+00
  7.8507600E+01 -1.0079099E-01  4.3302976E-03 -2.6958164E-02 -1.4364309E-01  0.0000000E+00
  7.8507600E+01 -4.9149170E-02  9.6574712E-03 -2.1664362E-01 -1.3512551E-01  0.0000000E+00
  7.8507600E+01  4.8583316E-02  9.9176234E-03 -2.0083498E-01 -1.2450815E-01  0.0000000E+00
  7.8507600E+01 -5.3790897E-04  4.7685195E-03 -1.0269602E-01 -1.1507912E-01  0.0000000E+00
  7.8507600E+01 -2.2874659E-02  3.3932083E-04 -6.0197841E-02 -1.0725832E-01  0.0000000E+00
  7.8507600E+01 -2.0723674E-02 -3.2325603E-03 -4.2297453E-02 -1.0065891E-01  0.0000000E+00
  7.8507600E+01 -1.8520011E-02 -6.3928736E-03 -3.2104930E-02 -9.5011091E-02  0.0000000E+00
  7.8507600E+01 -1.6837381E-02 -1.0299952E-02 -2.6251008E-02 -9.0120522E-02  0.0000000E+00
  7.8507600E+01 -1.5108641E-02 -1.4241017E-02 -2.3726262E-02 -8.5846561E-02  0.0000000E+00
  7.8507600E+01 -1.4291031E-02 -1.6925589E-02 -2.4070597E-02 -8.2061018E-02  0.0000000E+00
  7.8507600E+01 -1.6709472E-02 -1.8159260E-02 -2.5858746E-02 -7.8652202E-02  0.0000000E+00
  7.8507600E+01 -2.0362610E-02 -1.8252508E-02 -2.5728682E-02 -7.5539402E-02  0.0000000E+00
  7.8507600E+01 -2.3137573E-02 -1.7455567E-02 -2.3802705E-02 -7.2670571E-02  0.0000000E+00
  7.8507600E+01 -2.4988780E-02 -1.6006967E-02 -2.1665725E-02 -7.0011618E-02  0.0000000E+00
  7.8507600E+01 -2.4814741E-02 -1.4472458E-02 -1.9849706E-02 -6.7519193E-02  0.0000000E+00
  7.8507600E+01 -2.4147467E-02 -1.2987169E-02 -1.8278802E-02 -6.5170956E-02  0.0000000E+00
  7.8507600E+01 -2.4062662E-02 -1.1152639E-02 -1.7110149E-02 -6.2936651E-02  0.0000000E+00
  7.8507600E+01 -2.3404775E-02 -8.9971350E-03 -1.6300660E-02 -6.0790984E-02  0.0000000E+00
  7.8507600E+01 -2.2815802E-02 -6.7222708E-03 -1.6006995E-02 -5.8718718E-02  0.0000000E+00
  7.8507600E+01 -2.1242647E-02 -4.4931939E-03 -1.5260696E-02 -5.6710330E-02  0.0000000E+00
  7.8507600E+01 -1.9115447E-02 -2.7841534E-03 -1.3499685E-02 -5.4757484E-02  0.0000000E+00
  7.8507600E+01 -1.7064699E-02 -1.4714583E-03 -1.0939729E-02 -5.2860260E-02  0.0000000E+00
  7.8507600E+01 -1.4892970E-02 -3.9543169E-04 -8.0107439E-03 -5.1011125E-02  0.0000000E+00
  7.8507600E+01 -1.3317914E-02  5.7815774E-04 -5.3996087E-03 -4.9216662E-02  0.0000000E+00
  7.8507600E+01 -1.1308589E-02  1.1221461E-03 -2.9778476E-03 -4.7483750E-02  0.0000000E+00
  7.8507600E+01 -7.6779379E-03  1.0557285E-03  4.4347717E-05 -4.5820593E-02  0.0000000E+00
  7.8507600E+01 -4.2804859E-03  7.3124594E-04  2.5534635E-03 -4.4229703E-02  0.0000000E+00
  7.8507600E+01 -2.7518378E-03  8.1303756E-04  2.5020101E-03 -4.2708950E-02  0.0000000E+00
  7.8507600E+01 -3.5926642E-03  1.3335290E-03  4.5476363E-04 -4.1252074E-02  0.0000000E+00
  7.8507600E+01 -5.9469727E-03  1.9743138E-03  1.9204242E-05 -3.9850755E-02  0.0000000E+00
  7.8507600E+01 -7.9798514E-03  2.5518088E-03  1.6366340E-03 -3.8505718E-02  0.0000000E+00
  7.8507600E+01 -8.4596530E-03  3.0247527E-03  2.7133132E-03 -3.7217354E-02  0.0000000E+00
  7.8507600E+01 -7.6937208E-03  3.2310027E-03  1.5775553E-03 -3.5992388E-02  0.0000000E+00
  7.8507600E+01 -5.2550503E-03  3.0892048E-03  9.8452168E-05 -3.4826831E-02  0.0000000E+00
  7.8507600E+01 -2.6567476E-03  2.8190544E-03 -2.7134208E-04 -3.3710934E-02  0.0000000E+00
  7.8507600E+01 -1.1429271E-03  2.5976102E-03  1.3904637E-04 -3.2633287E-02  0.0000000E+00
  7.8507600E+01 -3.5004743E-04  2.4343917E-03  3.1957879E-04 -3.1585597E-02  0.0000000E+00
  7.8507600E+01  1.0793114E-03  2.2713285E-03  2.2866119E-06 -3.0564787E-02  0.0000000E+00
  7.8507600E+01  2.7056970E-03  2.1925934E-03 -8.1186527E-04 -2.9571038E-02  0.0000000E+00
  7.8507600E+01  2.8321441E-03  2.2550541E-03 -2.0910920E-03 -2.8604435E-02  0.0000000E+00
  7.8507600E+01  2.5096036E-03  2.4320418E-03 -2.9221269E-03 -2.7663504E-02  0.0000000E+00
  7.8507600E+01  1.8693359E-03  2.4721407E-03 -3.0894734E-03 -2.6753302E-02  0.0000000E+00
  7.8507600E+01  9.8112563E-04  2.5500546E-03 -2.7116117E-03 -2.5877205E-02  0.0000000E+00
  7.8507600E+01  1.1459770E-04  2.9009767E-03 -2.1876261E-03 -2.5034989E-02  0.0000000E+00
  7.8507600E+01 -6.1954288E-04  3.2219162E-03 -2.0602786E-03 -2.4220855E-02  0.0000000E+00
  7.8507600E+01 -9.8154743E-04  3.0641686E-03 -1.8504995E-03 -2.3429047E-02  0.0000000E+00
  7.8507600E+01 -3.5540880E-04  2.5403934E-03 -1.0957785E-03 -2.2654794E-02  0.0000000E+00
  7.8507600E+01  4.0924435E-04  1.9977899E-03 -4.8424487E-04 -2.1897348E-02  0.0000000E+00
  7.8507600E+01  8.6433211E-04  1.5735328E-03 -2.3799557E-04 -2.1157790E-02  0.0000000E+00
  7.8507600E+01  1.1404215E-03  1.2803039E-03 -1.2537618E-04 -2.0432874E-02  0.0000000E+00
  7.8507600E+01  1.5256239E-03  1.0772368E-03 -4.2153717E-05 -1.9722164E-02  0.0000000E+00
  7.8507600E+01  1.9806125E-03  9.1238022E-04  2.5605589E-05 -1.9024558E-02  0.0000000E+00
  7.8507600E+01  2.0230947E-03  7.7622296E-04  1.1754052E-04 -1.8340286E-02  0.0000000E+00
  7.8507600E+01  1.4535040E-03  7.1425699E-04  2.1225383E-04 -1.7669241E-02  0.0000000E+00
  7.8507600E+01  6.8687416E-04  6.9139854E-04  3.1180197E-04 -1.7013542E-02  0.0000000E+00
  7.8507600E+01  5.0853180E-05  5.5151125E-04  6.7398046E-04 -1.6377459E-02  0.0000000E+00
  7.8507600E+01 -5.1591270E-04  3.0774081E-04  1.1912113E-03 -1.5764622E-02  0.0000000E+00
  7.8507600E+01 -9.7890483E-04  4.7738677E-05  1.6916782E-03 -1.5174678E-02  0.0000000E+00
  7.8507600E+01 -1.2149248E-03 -1.6393083E-04  2.0930012E-03 -1.4610523E-02  0.0000000E+00
  7.8507600E+01 -1.2539946E-03 -3.1971555E-04  2.3462842E-03 -1.4072343E-02  0.0000000E+00
  7.8507600E+01 -1.2076167E-03 -4.5786669E-04  2.3894302E-03 -1.3558780E-02  0.0000000E+00
  7.8507600E+01 -1.0800867E-03 -6.2740964E-04  2.2538341E-03 -1.3067921E-02  0.0000000E+00
  7.8507600E+01 -9.8528835E-04 -7.8280462E-04  1.9064649E-03 -1.2595305E-02  0.0000000E+00
  7.8507600E+01 -6.2115373E-04 -9.2774102E-04  1.5208614E-03 -1.2138101E-02  0.0000000E+00
  7.8507600E+01 -2.7185729E-04 -1.0283458E-03  1.0471714E-03 -1.1694991E-02  0.0000000E+00
  7.8507600E+01 -4.5879323E-05 -1.0386638E-03  5.1098672E-04 -1.1266097E-02  0.0000000E+00
  7.8507600E+01  1.0756569E-04 -9.4639277E-04  3.5454221E-05 -1.0849047E-02  0.0000000E+00
  7.8507600E+01  1.6328096E-04 -7.9409102E-04 -2.9476976E-04 -1.0444074E-02  0.0000000E+00
  7.8507600E+01  1.8236896E-05 -6.6617575E-04 -4.9443431E-04 -1.0051051E-02  0.0000000E+00
  7.8507600E+01  2.9742335E-07 -6.2430433E-04 -4.5895710E-04 -9.6698117E-03  0.0000000E+00
  7.8507600E+01  1.0048553E-04 -6.4307994E-04 -2.2314586E-04 -9.3004608E-03  0.0000000E+00
  7.8507600E+01  2.3147713E-04 -6.8714612E-04 -4.6848331E-05 -8.9428569E-03  0.0000000E+00
  7.8507600E+01  2.5062501E-04 -7.2558964E-04 -1.6638491E-05 -8.5963891E-03  0.0000000E+00
  7.8507600E+01  1.5635462E-04 -7.1479205E-04 -8.9189416E-05 -8.2597805E-03  0.0000000E+00
  7.8507600E+01  4.6065230E-05 -6.1353854E-04 -2.0869314E-04 -7.9318607E-03  0.0000000E+00
  7.8507600E+01 -1.7002230E-05 -4.2336137E-04 -3.4249704E-04 -7.6095915E-03  0.0000000E+00
  7.8507600E+01 -9.1124888E-05 -2.0730064E-04 -4.6437643E-04 -7.2922312E-03  0.0000000E+00
  7.8507600E+01 -2.6903993E-04 -3.3036612E-05 -5.2316287E-04 -6.9789248E-03  0.0000000E+00
  7.8507600E+01 -2.9672019E-04  3.4158071E-05 -4.6553715E-04 -6.6704779E-03  0.0000000E+00
  7.8507600E+01 -2.3650601E-04  1.8267477E-05 -3.0886335E-04 -6.3680996E-03  0.0000000E+00
  7.8507600E+01  1.2371547E-04 -7.9465787E-05 -1.0805883E-04 -6.0735789E-03  0.0000000E+00
  7.8507600E+01  5.6013371E-04 -1.7739286E-04  1.5126711E-04 -5.7878851E-03  0.0000000E+00
  7.8507600E+01  8.0112202E-04 -2.2238426E-04  3.8872039E-04 -5.5112089E-03  0.0000000E+00
