          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  2.4000000E+02 -6.3167999E-03 -4.9189706E-03 -5.6936352E-03 -2.6341489E-03  0.0000000E+00
  2.4000000E+02 -6.1937900E-03 -4.8181754E-03 -5.5840033E-03 -2.5581092E-03  0.0000000E+00
  2.4000000E+02 -6.0771681E-03 -4.7201852E-03 -5.4797590E-03 -2.4813985E-03  0.0000000E+00
  2.4000000E+02 -5.9646972E-03 -4.6241805E-03 -5.3793065E-03 -2.4040989E-03  0.0000000E+00
  2.4000000E+02 -5.8504061E-03 -4.5285399E-03 -5.2777308E-03 -2.3263285E-03  0.0000000E+00
  2.4000000E+02 -5.7228332E-03 -4.4306154E-03 -5.1640994E-03 -2.2482011E-03  0.0000000E+00
  2.4000000E+02 -5.6051289E-03 -4.3400463E-03 -5.0544864E-03 -2.1698665E-03  0.0000000E+00
  2.4000000E+02 -5.4794387E-03 -4.2480405E-03 -4.9381313E-03 -2.0912820E-03  0.0000000E+00
  2.4000000E+02 -5.3523800E-03 -4.1565147E-03 -4.8209309E-03 -2.0124418E-03  0.0000000E+00
  2.4000000E+02 -5.2297946E-03 -4.0673323E-03 -4.7082372E-03 -1.9333922E-03  0.0000000E+00
  2.4000000E+02 -5.1133925E-03 -3.9809961E-03 -4.6019590E-03 -1.8542094E-03  0.0000000E+00
  2.4000000E+02 -5.0029323E-03 -3.8974000E-03 -4.5021139E-03 -1.7749873E-03  0.0000000E+00
  2.4000000E+02 -4.8976636E-03 -3.8162889E-03 -4.4079682E-03 -1.6958221E-03  0.0000000E+00
  2.4000000E+02 -4.7971127E-03 -3.7374788E-03 -4.3187661E-03 -1.6167987E-03  0.0000000E+00
  2.4000000E+02 -4.7012903E-03 -3.6608937E-03 -4.2340462E-03 -1.5379794E-03  0.0000000E+00
  2.4000000E+02 -4.6104038E-03 -3.5864708E-03 -4.1535476E-03 -1.4593988E-03  0.0000000E+00
  2.4000000E+02 -4.5241529E-03 -3.5139897E-03 -4.0767040E-03 -1.3810669E-03  0.0000000E+00
  2.4000000E+02 -4.4406892E-03 -3.4428793E-03 -4.0017271E-03 -1.3029835E-03  0.0000000E+00
  2.4000000E+02 -4.3553205E-03 -3.3720562E-03 -3.9242787E-03 -1.2251664E-03  0.0000000E+00
  2.4000000E+02 -4.2590406E-03 -3.2998490E-03 -3.8357327E-03 -1.1476950E-03  0.0000000E+00
  2.4000000E+02 -4.1746275E-03 -3.2337000E-03 -3.7544126E-03 -1.0705271E-03  0.0000000E+00
  2.4000000E+02 -4.0817481E-03 -3.1663156E-03 -3.6669295E-03 -9.9367474E-04  0.0000000E+00
  2.4000000E+02 -3.9891978E-03 -3.0997185E-03 -3.5797393E-03 -9.1708772E-04  0.0000000E+00
  2.4000000E+02 -3.9010734E-03 -3.0348866E-03 -3.4960532E-03 -8.4075904E-04  0.0000000E+00
  2.4000000E+02 -3.8182853E-03 -2.9720891E-03 -3.4168219E-03 -7.6468589E-04  0.0000000E+00
  2.4000000E+02 -3.7402419E-03 -2.9112745E-03 -3.3418929E-03 -6.8884773E-04  0.0000000E+00
  2.4000000E+02 -8.0407275E-01 -1.5014153E-01 -2.8183071E-01  9.7310925E-03  0.0000000E+00
  2.4000000E+02 -2.1915700E-01 -2.4224817E-02 -9.3390504E-02  9.2628200E-03  0.0000000E+00
  2.4000000E+02 -9.7666346E-02 -1.4367594E-02 -3.9928653E-02  8.6817360E-03  0.0000000E+00
  2.4000000E+02 -7.5445300E-02 -1.4989262E-02 -3.4664164E-02  7.3452626E-03  0.0000000E+00
  2.4000000E+02 -6.6701693E-02 -1.5817977E-02 -3.4394237E-02  5.5217727E-03  0.0000000E+00
  2.4000000E+02 -6.1651956E-02 -1.6841823E-02 -3.4381817E-02  3.5397043E-03  0.0000000E+00
  2.4000000E+02 -5.8626163E-02 -1.7962178E-02 -3.4392596E-02  1.5922045E-03  0.0000000E+00
  2.4000000E+02 -5.7787522E-02 -1.9030836E-02 -3.4485886E-02 -2.2318302E-04  0.0000000E+00
  2.4000000E+02 -5.9093096E-02 -1.9964597E-02 -3.4766075E-02 -1.8590591E-03  0.0000000E+00
  2.4000000E+02 -6.0655250E-02 -2.0722289E-02 -3.4967178E-02 -3.2931104E-03  0.0000000E+00
  2.4000000E+02 -6.0608263E-02 -2.1330999E-02 -3.5054140E-02 -4.5201507E-03  0.0000000E+00
  2.4000000E+02 -5.7658276E-02 -2.1823408E-02 -3.4913423E-02 -5.5474707E-03  0.0000000E+00
  2.4000000E+02 -5.2452617E-02 -2.2200557E-02 -3.4502956E-02 -6.3904676E-03  0.0000000E+00
  2.4000000E+02 -4.7475745E-02 -2.2437666E-02 -3.3971314E-02 -7.0690022E-03  0.0000000E+00
  2.4000000E+02 -4.3996399E-02 -2.2495122E-02 -3.3278963E-02 -7.6023812E-03  0.0000000E+00
  2.4000000E+02 -4.1986501E-02 -2.2380512E-02 -3.2549360E-02 -8.0057771E-03  0.0000000E+00
  2.4000000E+02 -4.0760466E-02 -2.2135637E-02 -3.1828840E-02 -8.2895857E-03  0.0000000E+00
  2.4000000E+02 -3.9773484E-02 -2.1782187E-02 -3.1050014E-02 -8.4610990E-03  0.0000000E+00
  2.4000000E+02 -3.8869377E-02 -2.1337986E-02 -3.0200482E-02 -8.5276512E-03  0.0000000E+00
  2.4000000E+02 -3.7819628E-02 -2.0799121E-02 -2.9178043E-02 -8.4989644E-03  0.0000000E+00
  2.4000000E+02 -3.6569629E-02 -2.0200122E-02 -2.8067734E-02 -8.3882228E-03  0.0000000E+00
  2.4000000E+02 -3.4863294E-02 -1.9516149E-02 -2.6717923E-02 -8.2103971E-03  0.0000000E+00
  2.4000000E+02 -3.3104707E-02 -1.8799312E-02 -2.5394616E-02 -7.9822411E-03  0.0000000E+00
  2.4000000E+02 -3.1422076E-02 -1.8085704E-02 -2.4179437E-02 -7.7203602E-03  0.0000000E+00
  2.4000000E+02 -2.9802869E-02 -1.7382523E-02 -2.3040643E-02 -7.4393650E-03  0.0000000E+00
  2.4000000E+02 -2.8271902E-02 -1.6697022E-02 -2.1981046E-02 -7.1512773E-03  0.0000000E+00
  2.4000000E+02 -2.6840993E-02 -1.6033700E-02 -2.1001045E-02 -6.8654293E-03  0.0000000E+00
  2.4000000E+02 -2.5429109E-02 -1.5379117E-02 -2.0030771E-02 -6.5886796E-03  0.0000000E+00
  2.4000000E+02 -2.3985313E-02 -1.4748856E-02 -1.9055253E-02 -6.3260722E-03  0.0000000E+00
  2.4000000E+02 -2.2484320E-02 -1.4131450E-02 -1.8041434E-02 -6.0803725E-03  0.0000000E+00
  2.4000000E+02 -2.1100852E-02 -1.3541248E-02 -1.7093354E-02 -5.8532536E-03  0.0000000E+00
  2.4000000E+02 -1.9890987E-02 -1.2996781E-02 -1.6258082E-02 -5.6454174E-03  0.0000000E+00
  2.4000000E+02 -1.8825026E-02 -1.2493520E-02 -1.5515637E-02 -5.4564411E-03  0.0000000E+00
  2.4000000E+02 -1.7872860E-02 -1.2025794E-02 -1.4846692E-02 -5.2851524E-03  0.0000000E+00
  2.4000000E+02 -1.7022330E-02 -1.1591241E-02 -1.4244549E-02 -5.1299949E-03  0.0000000E+00
  2.4000000E+02 -1.6261003E-02 -1.1186075E-02 -1.3699053E-02 -4.9893333E-03  0.0000000E+00
  2.4000000E+02 -1.5551762E-02 -1.0799413E-02 -1.3180119E-02 -4.8616512E-03  0.0000000E+00
