          atime        conv_uu        conv_vv        conv_ww         pm1avg           tavg
  2.4000000E+02 -5.4915627E-03 -2.4346093E-03 -3.3441404E-03 -8.3936333E-03  0.0000000E+00
  2.4000000E+02 -2.2569901E-03 -1.4685531E-03 -2.1762229E-03 -8.2445001E-03  0.0000000E+00
  2.4000000E+02  4.3643754E-04 -6.1527219E-04 -1.1111032E-03 -8.0552536E-03  0.0000000E+00
  2.4000000E+02  2.5768870E-03  9.6288505E-05 -1.8642499E-04 -7.8369852E-03  0.0000000E+00
  2.4000000E+02  4.1920049E-03  6.5991352E-04  5.8252509E-04 -7.5998094E-03  0.0000000E+00
  2.4000000E+02  5.3323694E-03  1.0843396E-03  1.1947297E-03 -7.3524637E-03  0.0000000E+00
  2.4000000E+02  6.0617626E-03  1.3858878E-03  1.6580557E-03 -7.1021535E-03  0.0000000E+00
  2.4000000E+02  6.4509740E-03  1.5834088E-03  1.9858794E-03 -6.8545742E-03  0.0000000E+00
  2.4000000E+02  6.5718489E-03  1.6974481E-03  2.1950289E-03 -6.6140467E-03  0.0000000E+00
  2.4000000E+02  6.4852226E-03  1.7485793E-03  2.3029875E-03 -6.3838860E-03  0.0000000E+00
  2.4000000E+02  6.2565934E-03  1.7470175E-03  2.3367164E-03 -6.1661954E-03  0.0000000E+00
  2.4000000E+02  5.9369864E-03  1.7120949E-03  2.3143203E-03 -5.9620816E-03  0.0000000E+00
  2.4000000E+02  5.5587239E-03  1.6516518E-03  2.2476970E-03 -5.7723783E-03  0.0000000E+00
  2.4000000E+02  5.1493664E-03  1.5727887E-03  2.1492940E-03 -5.5971807E-03  0.0000000E+00
  2.4000000E+02  4.7291006E-03  1.4817298E-03  2.0296828E-03 -5.4360250E-03  0.0000000E+00
  2.4000000E+02  4.3112508E-03  1.3834720E-03  1.8968579E-03 -5.2880752E-03  0.0000000E+00
  2.4000000E+02  3.9045296E-03  1.2815533E-03  1.7566652E-03 -5.1523009E-03  0.0000000E+00
  2.4000000E+02  3.5156450E-03  1.1782800E-03  1.6137614E-03 -5.0276266E-03  0.0000000E+00
  2.4000000E+02  3.1508771E-03  1.0757469E-03  1.4725112E-03 -4.9130361E-03  0.0000000E+00
  2.4000000E+02  2.8152433E-03  9.7798888E-04  1.3372240E-03 -4.8076122E-03  0.0000000E+00
  2.4000000E+02  2.5026030E-03  8.8438363E-04  1.2065782E-03 -4.7106691E-03  0.0000000E+00
  2.4000000E+02  2.2232333E-03  7.9694828E-04  1.0865109E-03 -4.6211978E-03  0.0000000E+00
  2.4000000E+02  1.9748486E-03  7.1757530E-04  9.7714242E-04 -4.5384177E-03  0.0000000E+00
  2.4000000E+02  1.7535690E-03  6.4550990E-04  8.7752977E-04 -4.4616631E-03  0.0000000E+00
  2.4000000E+02  1.5575232E-03  5.8037903E-04  7.8757142E-04 -4.3902595E-03  0.0000000E+00
  2.4000000E+02  1.3855480E-03  5.2211833E-04  7.0730138E-04 -4.3235046E-03  0.0000000E+00
  2.4000000E+02  1.2363888E-03  4.7073707E-04  6.3652674E-04 -4.2606567E-03  0.0000000E+00
  2.4000000E+02  1.1083533E-03  4.2606166E-04  5.7474003E-04 -4.2009389E-03  0.0000000E+00
  2.4000000E+02  9.9936833E-04  3.8759824E-04  5.2123772E-04 -4.1435619E-03  0.0000000E+00
  2.4000000E+02  9.0739271E-04  3.5465478E-04  4.7537623E-04 -4.0877763E-03  0.0000000E+00
  2.4000000E+02  8.3113599E-04  3.2686311E-04  4.3689691E-04 -4.0329559E-03  0.0000000E+00
  2.4000000E+02  7.7103533E-04  3.0524156E-04  4.0625127E-04 -3.9787231E-03  0.0000000E+00
  2.4000000E+02  7.1782400E-04  2.8577382E-04  3.7893380E-04 -3.9247613E-03  0.0000000E+00
  2.4000000E+02  6.7575825E-04  2.7001823E-04  3.5743718E-04 -3.8706450E-03  0.0000000E+00
  2.4000000E+02  6.4133311E-04  2.5707503E-04  3.3971945E-04 -3.8160268E-03  0.0000000E+00
  2.4000000E+02  6.1219089E-04  2.4605237E-04  3.2455483E-04 -3.7607266E-03  0.0000000E+00
  2.4000000E+02  5.8709542E-04  2.3641066E-04  3.1137507E-04 -3.7046362E-03  0.0000000E+00
  2.4000000E+02  5.6536070E-04  2.2787517E-04  2.9988808E-04 -3.6476549E-03  0.0000000E+00
  2.4000000E+02  5.4647173E-04  2.2030671E-04  2.8984745E-04 -3.5896579E-03  0.0000000E+00
  2.4000000E+02  5.2988074E-04  2.1357399E-04  2.8094888E-04 -3.5304903E-03  0.0000000E+00
  2.4000000E+02  5.1496195E-04  2.0747209E-04  2.7282930E-04 -3.4699823E-03  0.0000000E+00
  2.4000000E+02  5.0110805E-04  2.0173053E-04  2.6514472E-04 -3.4079759E-03  0.0000000E+00
